load,L,seed,rho_hat,ic_slack,ic_slack_pct,best_multiplier,strategic_rho,regret,learned_reward,best_fixed_reward,truthful_utility,theory_rho_T_over_L,theory_sqrt_LT
0.6,120,5222,0.1,0.0,0.0,1.0,0.1,10249.295268936548,-130489.47192692725,-120240.1766579907,512739.82942891034,2.0,536.6563145999495
0.6,240,5342,0.0,0.0,0.0,1.0,0.0,0.009794553479878232,-116335.88327901208,-116335.8734844586,364029.6799232815,0.0,758.946638440411
0.9,30,5162,0.25666666666666665,0.0,0.0,1.0,0.25666666666666665,991.9232161858818,-143076.25575175462,-142084.33253556874,879051.2454321187,20.533333333333335,268.32815729997475
0.9,60,5192,0.20208333333333334,11710.534864392946,1.3141801714043504,0.95,0.15416666666666667,498.60718433378497,-139639.08145210182,-139140.47426776803,891090.5155325022,8.083333333333334,379.4733192202055
0.9,120,5252,0.15,0.0,0.0,1.0,0.15,8501.575215965218,-134699.8057771192,-126198.23056115399,776006.748261162,3.0,536.6563145999495
0.9,240,5372,0.2,0.0,0.0,1.0,0.2,4774.3983554825245,-114663.00178147221,-109888.60342598968,849069.9941822649,2.0,758.946638440411
1.2,30,5192,0.5916666666666667,954.6863257770892,0.0740161916526371,0.95,0.575,1709.526208444935,-147497.81103253213,-145788.2848240872,1289834.432792078,47.333333333333336,268.32815729997475
1.2,60,5222,0.6495833333333333,1705.5611021616496,0.1172590446000974,0.95,0.655,571.8038309462427,-146529.00135232936,-145957.19752138312,1454524.1332797222,25.983333333333334,379.4733192202055
1.2,120,5282,0.6095833333333334,263.15864841546863,0.020512726814142443,0.95,0.46625,2600.1637170129397,-147321.8645085647,-144721.70079155176,1282904.2710890812,12.191666666666666,536.6563145999495
1.2,240,5402,0.40166666666666667,1008.1890266297851,0.05875395468484858,1.05,0.405,1408.512624793977,-148658.91134242358,-147250.3987176296,1715950.9211552292,4.016666666666667,758.946638440411
0.6,30,6132,0.022083333333333333,0.0,0.0,1.0,0.022083333333333333,1308.8291361181764,-114581.35662745233,-113272.52749133416,343216.21959999116,1.7666666666666666,268.32815729997475
0.6,60,6162,0.045,0.0,0.0,1.0,0.045,707.2381533072476,-114175.39614972676,-113468.15799641951,402866.8562794451,1.8,379.4733192202055
0.6,120,6222,0.0,0.0,0.0,1.0,0.0,0.0,-108070.06925603012,-108070.06925603012,275492.8347664568,0.0,536.6563145999495
0.6,240,6342,0.0,0.0,0.0,1.0,0.0,0.0,-109144.39628094216,-109144.39628094216,307503.9454566464,0.0,758.946638440411
0.9,30,6162,0.24416666666666667,0.0,0.0,1.0,0.24416666666666667,1300.2674480637652,-141902.263904948,-140601.99645688423,877440.1827937899,19.533333333333335,268.32815729997475
0.9,60,6192,0.36625,2082.819515760988,0.19169727265057823,1.05,0.37083333333333335,1466.1519278155465,-137351.82181224666,-135885.66988443112,1086514.9446113966,14.65,379.4733192202055
0.9,120,6252,0.3,0.0,0.0,1.0,0.3,3402.807704906678,-146585.96494405507,-143183.1572391484,962408.8661933052,6.0,536.6563145999495
0.9,240,6372,0.0,0.0,0.0,1.0,0.0,38.69424109905958,-146613.69824345206,-146575.004002353,939165.5337414468,0.0,758.946638440411
1.2,30,6192,0.6325,0.0,0.0,1.0,0.6325,1108.0778110922838,-145381.85224760466,-144273.77443651238,1544745.594253875,50.599999999999994,268.32815729997475
1.2,60,6222,0.4533333333333333,4352.3228463868145,0.38781570901975193,0.95,0.3725,2076.5737613244564,-144661.8790571741,-142585.30529584966,1122265.7425063576,18.133333333333333,379.4733192202055
