load,L,rho_hat,strategic_rho_hat,truthful_reward_per_slot,strategic_reward_per_slot,truthful_utility,strategic_utility,raw_strategic_gain,ic_slack,theory_rho_T_over_L,mean_delay_ms,sla_violation_rate,throughput_mbps,wasted_prbs,seed
0.85,60,0.017083333333333332,0.0,-11.54112915948158,-18.992053643221208,510346.6277547791,516248.4516136027,5901.823858823569,100.82282425490263,0.6833333333333333,6.34058891814451,0.40486111111111106,14.670155641484849,1.1927647969959085,8
0.85,120,0.0,0.0,-13.552349299081872,-20.37726274399447,445394.4319798148,480589.87988513237,35195.44790531759,0.0,0.0,10.49967911412593,0.39125,13.998783989366817,2.1953838905751164,8
0.85,240,0.0,0.0,-13.929800327482914,-17.8109139047106,498550.84517691296,504693.75086398405,6142.905687071092,0.0,0.0,20.849896814872178,0.43875000000000003,13.912796423152113,3.426917483824181,8
1.15,30,0.11041666666666668,0.11291666666666667,-10.70658038430585,-19.316120908532064,905243.2764283108,828620.7678441885,0.0,0.0,8.833333333333334,5.30118314516788,0.3556944444444444,19.692727013708378,1.117126751289409,8
1.15,60,0.05,0.05,-17.281590460050992,-25.430284101427052,711699.4412417733,668989.2972584793,0.0,0.0,2.0,9.66690453051476,0.4918055555555556,20.253129365837186,1.3705664752143698,8
1.15,120,0.0024999999999999996,0.0020833333333333333,-20.835753809405727,-22.695381272326753,702482.834232051,658825.7665578055,0.0,0.0,0.049999999999999996,47.618762814752564,0.5061111111111111,18.11847380023008,2.0758990941755364,8
1.15,240,0.22166666666666668,0.11666666666666667,-13.486063285882963,-20.114638160202745,758646.2489012945,704419.1765412986,0.0,0.0,2.216666666666667,9.083240103538497,0.4327777777777778,19.85353630134323,4.228151389123072,8
0.55,30,0.0,0.0,-5.718690355420832,-6.044466455295541,174419.27993364964,242078.84189979578,67659.56196614614,0.0,0.0,1.4370983401800366,0.14125,9.675310064746864,1.4758413016087875,9
0.55,60,0.0,0.0,-5.386270914506445,-5.678466778207138,199351.60779228754,231289.8770349188,31938.26924263127,0.0,0.0,1.716364800332761,0.13930555555555554,9.834573380376195,1.9312339174255158,9
0.55,120,0.0,0.0,-3.863181732460632,-4.152545248576573,212902.24810467963,251606.8784394369,38704.63033475727,0.0,0.0,1.8492327140448404,0.13763888888888892,9.242819038514465,2.861957440129236,9
0.55,240,0.0,0.0,-6.58664359587015,-6.718436704832798,225254.04295210383,222196.04009894666,0.0,0.0,0.0,2.1120974749742465,0.1802777777777778,9.699836249753213,2.8838400473607813,9
0.85,30,0.005,0.0125,-9.693662206207403,-20.083013044765195,507014.87598030764,542880.413379945,35865.53739963734,448.3192174954668,0.4,4.647908337216194,0.2759722222222222,15.054132911746013,0.9652026247396176,9
0.85,60,0.025,0.025,-7.605953131788066,-18.040592539534543,424028.72319348884,501674.1992383092,77645.47604482033,1941.1369011205084,1.0,4.12205874201579,0.29166666666666663,14.65439343705879,2.3902637249547865,9
0.85,120,0.0025,0.0,-9.025872517134237,-19.19137122910445,459023.3389615543,530723.5913408205,71700.25237926625,179.25063094816565,0.05,4.35838052171872,0.2829166666666667,15.172933664712593,3.4797335828571776,9
0.85,240,0.0,0.0,-14.408573409876283,-18.91899748738755,508933.4117989128,518462.7870577169,9529.375258804124,0.0,0.0,16.060799073990246,0.43069444444444444,14.298003886255103,1.131458431943963,9
1.15,30,0.18583333333333335,0.07041666666666666,-13.430474950134066,-20.596289576387086,847756.4215449295,791333.3807357148,0.0,0.0,14.866666666666669,10.351554388416558,0.46416666666666667,20.001422289384845,0.44035602673105395,9
1.15,60,0.10833333333333332,0.025,-15.543237652014504,-23.77568181461937,784520.7693522864,755319.9078419678,0.0,0.0,4.333333333333333,8.821563228304367,0.4409722222222222,20.54986949494783,1.3774763917781745,9
1.15,120,0.1404166666666667,0.07333333333333333,-16.820322880930807,-22.518182298360895,818561.2071438032,774837.4964077027,0.0,0.0,2.808333333333334,15.494245840925169,0.4611111111111111,19.995325659412934,2.716004620095665,9
1.15,240,0.21333333333333332,0.03208333333333334,-14.118198782460034,-22.886782739403376,758041.9668357385,754409.1670257156,0.0,0.0,2.1333333333333333,8.81135008210982,0.4320833333333334,20.606410232551113,4.938936819508193,9
0.55,30,0.0008333333333333333,0.0,-4.105621966385092,-6.417605569075291,249369.79980754273,286868.87861443404,37499.07880689131,31.24923233907609,0.06666666666666667,1.470875594800615,0.125,10.089293825300427,1.5150373166914086,10
0.55,60,0.0,0.0,-5.4920819238217105,-5.777415693205988,185561.4818619176,241324.48673484963,55763.00487293204,0.0,0.0,1.3228998563452101,0.14625,9.474548976282998,2.4506251740206455,10
0.55,120,0.0,0.0,-6.92123570701924,-6.981264616569233,230411.73673394753,257149.09625429587,26737.359520348342,0.0,0.0,2.3556286404593796,0.2047222222222222,9.39299696942384,2.407311057889293,10
0.55,240,0.0,0.0,-5.838744851942468,-6.181579524172078,189736.76453974284,232795.73081565223,43058.96627590939,0.0,0.0,1.3468693077338907,0.14694444444444443,9.805141778566108,3.5306078675482504,10
