exp,T,L,mech,seed,slack,best_d
E1a,5000,50,EPOCH(r=2),0,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=2),1,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=2),2,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=2),3,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=2),4,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=2),5,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=2),6,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=2),7,0.6092525990568447,-0.04000000000000001
E1a,5000,50,CUM(r=1),0,0.27819535462924705,-0.015
E1a,5000,50,CUM(r=1),1,0.27620162231744416,-0.015
E1a,5000,50,CUM(r=1),2,0.3036202505724077,-0.015
E1a,5000,50,CUM(r=1),3,0.33758741758077804,-0.020000000000000004
E1a,5000,50,CUM(r=1),4,0.20998794312936298,-0.015
E1a,5000,50,CUM(r=1),5,0.2002714589042398,-0.010000000000000009
E1a,5000,50,CUM(r=1),6,0.31013794936274053,-0.020000000000000004
E1a,5000,50,CUM(r=1),7,0.2964737512737088,-0.015
E1a,5000,50,EPOCH0,0,0.0,0.0
E1a,5000,50,EPOCH0,1,0.0,0.0
E1a,5000,50,EPOCH0,2,0.0,0.0
E1a,5000,50,EPOCH0,3,0.0,0.0
E1a,5000,50,EPOCH0,4,0.0,0.0
E1a,5000,50,EPOCH0,5,0.0,0.0
E1a,5000,50,EPOCH0,6,0.0,0.0
E1a,5000,50,EPOCH0,7,0.0,0.0
E1a,5000,50,CUM0,0,0.0,0.0
E1a,5000,50,CUM0,1,0.0,0.0
E1a,5000,50,CUM0,2,0.0,0.0
E1a,5000,50,CUM0,3,0.0,0.0
E1a,5000,50,CUM0,4,0.0,0.0
E1a,5000,50,CUM0,5,0.0,0.0
E1a,5000,50,CUM0,6,0.0,0.0
E1a,5000,50,CUM0,7,0.0,0.0
E1a,10000,50,RINF,0,1.5133238176042596,-0.045000000000000005
E1a,10000,50,RINF,1,1.5133238176042596,-0.045000000000000005
E1a,10000,50,RINF,2,1.5133238176042596,-0.045000000000000005
E1a,10000,50,RINF,3,1.5133238176042596,-0.045000000000000005
E1a,10000,50,RINF,4,1.5133238176042596,-0.045000000000000005
E1a,10000,50,RINF,5,1.5133238176042596,-0.045000000000000005
E1a,10000,50,RINF,6,1.5133238176042596,-0.045000000000000005
E1a,10000,50,RINF,7,1.5133238176042596,-0.045000000000000005
E1a,10000,50,EPOCH(r=1),0,1.5126866190464625,-0.045000000000000005
E1a,10000,50,EPOCH(r=1),1,1.5133238176042596,-0.045000000000000005
E1a,10000,50,EPOCH(r=1),2,1.5120495157930236,-0.045000000000000005
E1a,10000,50,EPOCH(r=1),3,1.5133238176042596,-0.045000000000000005
E1a,10000,50,EPOCH(r=1),4,1.5133238176042596,-0.045000000000000005
E1a,10000,50,EPOCH(r=1),5,1.5132466111658687,-0.045000000000000005
E1a,10000,50,EPOCH(r=1),6,1.507756375795907,-0.045000000000000005
E1a,10000,50,EPOCH(r=1),7,1.5105376736328253,-0.045000000000000005
E1a,10000,50,EPOCH(r=2),0,1.5133238176042596,-0.045000000000000005
E1a,10000,50,EPOCH(r=2),1,1.5133238176042596,-0.045000000000000005
E1a,10000,50,EPOCH(r=2),2,1.5133238176042596,-0.045000000000000005
E1a,10000,50,EPOCH(r=2),3,1.5133238176042596,-0.045000000000000005
E1a,10000,50,EPOCH(r=2),4,1.5133238176042596,-0.045000000000000005
E1a,10000,50,EPOCH(r=2),5,1.5133238176042596,-0.045000000000000005
E1a,10000,50,EPOCH(r=2),6,1.5133238176042596,-0.045000000000000005
E1a,10000,50,EPOCH(r=2),7,1.5133238176042596,-0.045000000000000005
E1a,10000,50,CUM(r=1),0,0.493277461267553,-0.010000000000000009
E1a,10000,50,CUM(r=1),1,0.43657893321972097,-0.010000000000000009
E1a,10000,50,CUM(r=1),2,0.5602325718524526,-0.015
E1a,10000,50,CUM(r=1),3,0.5808084596864092,-0.015
E1a,10000,50,CUM(r=1),4,0.41727904851734365,-0.010000000000000009
